ID;SENT_FROM_NAME;SENT_FROM_ID;RECIVED_BY_NAME;RECIVED_BY_ID;Absendeort;Absendeort_id;Ankunftsort;Ankunftsort_id;Nummer_Harris;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Signatur;url_facsimile;published_in;published_in_url;Datum;letter_text;status_letter_text;summary_en;persons_mentioned;topics_mentioned;normalized_text;scan_erhalten;upload_transkribus;ATR_processed;ATR_proofread;tei_encoded
lassberg-letter-0648;Joseph von Laßberg;lassberg-correspondent-0373;Franz Josef Waitzenegger;lassberg-correspondent-0101;Eppishausen;lassberg-place-0043;;;357;255;Bregenz;Vorarlberger Landesarchiv;;;Max Binder, Über Joseph Freiherrn von Laßberg und seinen Anteil an der Geschichtsschreibung des Bodenseegebietes. In: Schriften des Vereins für Geschichte des Bodensees und seiner Umgebung 57 (1929), S. 83-116, S. 113;https://www.digishelf.de/objekt/bsz014854767_1929/84/;1820-06-01;;;;;;;;;;;
lassberg-letter-0649;Johann Heinrich Nepomuk Schreiber;lassberg-correspondent-0200;Joseph von Laßberg;lassberg-correspondent-0373;Freiburg i. Brsg;lassberg-place-0050;;;1861;;Freiburg i.Br.;Universitätsbibliothek;Autograph Nr. 1547;https://dl.ub.uni-freiburg.de/diglit/autogr1547/;;;1820-06-02;;;;;;;done;done;done;;
lassberg-letter-0650;Johann Martin Usteri;lassberg-correspondent-0210;Joseph von Laßberg;lassberg-correspondent-0373;Zürich;lassberg-place-0166;;;1862;;Zürich;Zentralbibliothek;Ms Briefe, Usteri 3.7;;;;1820-07-07;;;;;;;;;;;
lassberg-letter-0651;Friedrich Hermann Otto von Hohenzollern-Hechingen;lassberg-correspondent-0120;Joseph von Laßberg;lassberg-correspondent-0373;Unbekannt;lassberg-place-0152;;;1863;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1820-07-13;;;;;;;;;;;
lassberg-letter-0652;Karl Philipp Conz;lassberg-correspondent-0264;Joseph von Laßberg;lassberg-correspondent-0373;Tübingen;lassberg-place-0148;;;1864;;Marbach am Neckar;Schiller Nationalmuseum;;;;;1820-07-18;;;;;;;;;;;
lassberg-letter-0653;Johann Caspar Zellweger;lassberg-correspondent-0193;Joseph von Laßberg;lassberg-correspondent-0373;Trogen (Appenzell Ausserrhoden);lassberg-place-0150;;;1865;;Winterthur;Stadtbibliothek;Ms BRH 513/91;;Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 18;https://books.google.de/books?id=KIHHQBvr1nkC;1820-07-24;;;;;;;;;;;
lassberg-letter-0654;Joseph von Laßberg;lassberg-correspondent-0373;Ludwig Uhland;lassberg-correspondent-0288;Heiligenberg;lassberg-place-0066;;;358;316;Marbach am Neckar;Schiller Nationalmuseum;;;Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 9;https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1;1820-07-29;;;;;;;;;;;
lassberg-letter-0655;Joseph von Laßberg;lassberg-correspondent-0373;Johann Sulpiz Melchior Dominikus Boisserée;lassberg-correspondent-0216;Eppishausen;lassberg-place-0043;;;359;324;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;Hermann Hüffer, Sechs Briefe des Freiherrn Joseph von Lassberg an Sulpiz Boisseree. In: Annalen des Historischen Vereins für den Niederrhein 61 (1895), S. 16-34, S. 22;https://archive.org/details/bub_gb_AJ1JAAAAYAAJ;1820-08-08;;;;;;;;;;;
lassberg-letter-0656;Joseph von Laßberg;lassberg-correspondent-0373;Georg Escher vom Berg;lassberg-correspondent-0133;Heiligenberg;lassberg-place-0066;;;360;315;Zürich;Zentralbibliothek;Handschriftenabteilung, FA Escher vL 140.174;;;;1820-08-10;;;;;;;;;;;
lassberg-letter-0657;Joseph Anton Eitenbenz;lassberg-correspondent-0226;Joseph von Laßberg;lassberg-correspondent-0373;Biethingen;lassberg-place-0024;;;1866;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1820-08-10;;;;;;;;;;;
lassberg-letter-0658;Joseph von Laßberg;lassberg-correspondent-0373;Friedrich Carl von und zu Brenken;lassberg-correspondent-0113;Heiligenberg;lassberg-place-0066;;;361;350;Erpernburg;Archiv der Freiherren von und zu Brenken;;;Alfred Cohausz, Der Schwager der Annette von Droste. 20 unbekannte Briefe des Reichsfreiherrn Joseph von Laszberg aus den Jahren 1814 (richtig: 1817)-1849. In: WZ 95 (1939), S. 45-87, S. 54-60;https://www.lwl.org/westfaelische-geschichte/txt/wz-9716.pdf;1820-08-23;;;;;;;;;;;
lassberg-letter-0659;Nikolaus David Rosenlächer;lassberg-correspondent-0314;Joseph von Laßberg;lassberg-correspondent-0373;Konstanz;lassberg-place-0082;;;1867;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1820-09-13;;;;;;;;;;;
lassberg-letter-0660;Joseph von Laßberg;lassberg-correspondent-0373;Ludwig Uhland;lassberg-correspondent-0288;Heiligenberg;lassberg-place-0066;;;362;377;Marbach am Neckar;Schiller Nationalmuseum;;;Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 11-14;https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1;1820-09-23;;;;;;;;;;;
lassberg-letter-0661;Johann Heinrich Nepomuk Schreiber;lassberg-correspondent-0200;Joseph von Laßberg;lassberg-correspondent-0373;Freiburg i. Brsg;lassberg-place-0050;;;1868;;Freiburg i.Br.;Universitätsbibliothek;Autograph Nr. 1548;https://dl.ub.uni-freiburg.de/diglit/autogr1548/;;;1820-09-27;;;;;;;done;done;done;;
lassberg-letter-0662;Fechtig;lassberg-correspondent-0084;Joseph von Laßberg;lassberg-correspondent-0373;Stühlingen;lassberg-place-0143;;;1869;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;;;;;1820-10-01;;;;;;;;;;;
lassberg-letter-0663;Karl Philipp Conz;lassberg-correspondent-0264;Joseph von Laßberg;lassberg-correspondent-0373;Tübingen;lassberg-place-0148;;;1870;;Marbach am Neckar;Schiller Nationalmuseum;;;;;1820-10-02;;;;;;;;;;;
lassberg-letter-0664;Joseph von Laßberg;lassberg-correspondent-0373;Johann August Zeune;lassberg-correspondent-0184;Eppishausen;lassberg-place-0043;;;363;395;Hannover;Stadtarchiv;;;Martin Harris, Joseph von Laßberg im Briefwechsel mit norddeutschen Germanisten. Neu aufgefundene Briefe zur Geschichte der germanischen Philologie. In: Euphorion 80 (1986), S. 46-82, S. 70-73;-;1820-10-07;;;;;;;;;;;
lassberg-letter-0665;Johann Mailáth;lassberg-correspondent-0208;Joseph von Laßberg;lassberg-correspondent-0373;Ofen;lassberg-place-0111;;;1871;;;;;;Julius von Parkas, Graf Johann Mailath und Joseph Freiherr von Lassberg. In: Ungarische Jahrbücher 10 (1930), S. 211-29, S. 215;https://resolver.sub.uni-goettingen.de/purl?PPN862436583_0010;1820-10-10;;;;;;;;;;;
lassberg-letter-0666;Joseph von Laßberg;lassberg-correspondent-0373;Johann Rudolf Wyss;lassberg-correspondent-0215;Eppishausen;lassberg-place-0043;;;364;408;Bern;Burgerbibliothek;;;;;1820-10-13;;;;;;;;;;;
lassberg-letter-0667;Johann Heinrich Nepomuk Schreiber;lassberg-correspondent-0200;Joseph von Laßberg;lassberg-correspondent-0373;Freiburg i. Brsg;lassberg-place-0050;;;1872;;Freiburg i.Br.;Universitätsbibliothek;Autograph Nr. 1549;https://dl.ub.uni-freiburg.de/diglit/autogr1549/;;;1820-10-18;;;;;;;done;done;done;;
lassberg-letter-0668;Johann JakobHorner;lassberg-correspondent-0203;Joseph von Laßberg;lassberg-correspondent-0373;Unbekannt;lassberg-place-0152;;;1873;;Zürich;Zentralbibliothek;Handschriftenabteilung, Ms M 8.32a;;;;1820-10-20;;;;;;;;;;;
lassberg-letter-0669;Lambert Büchler;lassberg-correspondent-0274;Joseph von Laßberg;lassberg-correspondent-0373;Frankfurt am Main;lassberg-place-0048;;;1874;;Karlsruhe;Badische Landesbibliothek;;;;;1820-11-01;;;;;;;;;;;
lassberg-letter-0670;Joseph Görres;lassberg-correspondent-0231;Joseph von Laßberg;lassberg-correspondent-0373;Schaffhausen;lassberg-place-0132;;;1875;;;;;;Franz Binder (Hg.), Joseph von Görres. Gesammelte Briefe. Bd. 2, München 1874, S. 618;https://books.google.de/books?id=CJxhAAAAcAAJ;1820-11-01;;;;;;;;;;;
